epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,47.2731,0.95592,4.52825,1.79251,0.99779,1,0.995,0.95233,0.35318,1.39593,1.03997,0.00028,0.00028,0.00028
2,91.5338,0.42264,1.74072,1.14213,0.99833,1,0.995,0.95969,0.31519,1.08201,1.00464,0.00052258,0.00052258,0.00052258
3,135.177,0.40478,1.3248,1.11854,0.99834,1,0.995,0.94939,0.33156,0.87227,1.07127,0.00070576,0.00070576,0.00070576
4,179.78,0.43555,0.979,1.21211,0.99822,1,0.995,0.93912,0.39341,0.67567,1.26287,0.00082954,0.00082954,0.00082954
5,224.188,0.40213,0.77925,1.20211,0.99758,1,0.995,0.95366,0.35075,0.57064,1.09814,0.00089392,0.00089392,0.00089392
6,269.284,0.39072,0.63444,1.13795,0.99819,1,0.995,0.94201,0.40953,0.51596,1.01612,0.0008989,0.0008989,0.0008989
7,313.75,0.42686,0.63371,1.09977,0.99805,1,0.995,0.96868,0.34122,0.42961,0.99334,0.000812,0.000812,0.000812
8,355.996,0.37264,0.54596,1.0778,0.99829,1,0.995,0.98112,0.28855,0.42051,1.05366,0.000614,0.000614,0.000614
9,401.4,0.33557,0.49359,1.10657,0.99834,1,0.995,0.9894,0.27499,0.36905,1.02382,0.000416,0.000416,0.000416
10,457.03,0.31781,0.46124,1.08564,0.99834,1,0.995,0.98194,0.25605,0.37563,0.97868,0.000218,0.000218,0.000218
