epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,50.0098,0.95436,5.04243,1.68469,0.8991,1,0.97545,0.81054,0.59102,2.10919,1.45515,0.00022,0.00022,0.00022
2,96.1356,0.56863,2.56635,1.31248,0.99358,1,0.995,0.82684,0.57352,1.58389,1.23705,0.00041446,0.00041446,0.00041446
3,139.569,0.51142,1.8715,1.159,0.98921,1,0.995,0.88459,0.6073,1.4438,1.21688,0.0005614,0.0005614,0.0005614
4,187.996,0.53797,1.5493,1.09854,0.99267,1,0.995,0.89841,0.53787,1.12315,1.32202,0.00066082,0.00066082,0.00066082
5,244.367,0.47835,1.1855,1.14597,0.99575,1,0.995,0.87477,0.5732,1.00168,1.09456,0.00071272,0.00071272,0.00071272
6,289.577,0.47306,1.03397,1.10646,0.99568,1,0.995,0.90709,0.44021,0.8405,1.08684,0.0007171,0.0007171,0.0007171
7,333.992,0.43016,0.91515,1.07968,0.99681,1,0.995,0.9129,0.3915,0.64998,1.07463,0.00067396,0.00067396,0.00067396
8,378.911,0.37747,0.79634,1.01923,0.9971,1,0.995,0.94901,0.36173,0.58401,1.05417,0.0005833,0.0005833,0.0005833
9,424.478,0.3458,0.71628,1.03851,0.99724,1,0.995,0.9578,0.36716,0.58839,1.06406,0.000416,0.000416,0.000416
10,471.821,0.35143,0.68019,1.08567,0.99735,1,0.995,0.96106,0.34906,0.54753,1.0607,0.000218,0.000218,0.000218
