epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.9683,1.00372,3.03562,0.99951,0.00167,0.26087,0.00107,0.0005,0.96758,4.10733,1.18549,0.08713,0.00013,0.00013
2,18.8555,0.94424,0.98233,0.977,0,0,0,0,1.01962,4.55765,1.13949,0.0732566,0.000256635,0.000256635
3,26.2702,0.88637,0.77226,0.94719,0,0,0,0,0.81955,4.37295,0.89417,0.0593694,0.00036941,0.00036941
4,31.5665,0.89364,0.71943,0.9624,1,0.30435,0.65216,0.56943,0.74514,4.18033,0.89243,0.0454683,0.000468325,0.000468325
5,37.2084,0.88199,0.66404,0.94113,0.95,0.82609,0.90858,0.73574,0.8646,3.66634,0.90956,0.0315534,0.00055338,0.00055338
6,44.1028,0.83431,0.62795,0.94033,0.75,0.91304,0.92874,0.73494,0.78549,3.1546,0.90236,0.0176246,0.000624575,0.000624575
7,50.2435,0.8114,0.62545,0.9369,0.73333,0.95652,0.95612,0.79485,0.74626,2.66144,0.90511,0.00368191,0.00068191,0.00068191
8,57.3298,0.78615,0.57508,0.90398,1,0.94873,0.96233,0.80365,0.7179,2.05467,0.89951,0.0006535,0.0006535,0.0006535
9,63.7886,0.75568,0.55742,0.89348,0.99637,0.95652,0.975,0.79777,0.74726,1.53647,0.9114,0.000604,0.000604,0.000604
10,71.3412,0.74713,0.56102,0.91179,1,0.95448,0.98468,0.80208,0.74185,0.98188,0.92255,0.0005545,0.0005545,0.0005545
11,79.6895,0.71765,0.59605,0.88759,0.99736,0.95652,0.98567,0.82449,0.72386,0.9513,0.92212,0.000505,0.000505,0.000505
12,87.0885,0.69612,0.56201,0.8897,0.99946,0.95652,0.975,0.80477,0.72533,0.73171,0.93721,0.0004555,0.0004555,0.0004555
13,92.6199,0.70824,0.52524,0.89908,1,0.95318,0.97008,0.77183,0.77595,0.74757,0.95702,0.000406,0.000406,0.000406
14,98.8754,0.68687,0.49726,0.86957,0.99558,0.95652,0.99038,0.81505,0.69179,0.60932,0.917,0.0003565,0.0003565,0.0003565
15,104.839,0.678,0.49755,0.88467,0.99746,0.95652,0.99038,0.82185,0.70873,0.56958,0.91781,0.000307,0.000307,0.000307
16,109.851,0.6636,0.46998,0.84732,0.99664,0.95652,0.99038,0.81686,0.68352,0.52444,0.915,0.0002575,0.0002575,0.0002575
